111;110;106;35050;0.036901;34850;0.007979
111;110;97;34650;0.033908;34100;3.936718
111;110;96;34650;0.033996;34100;7.907494
111;110;95;34850;0.032958;34100;15.781959
111;110;94;34450;0.032953;33900;31.920154
111;110;93;34450;0.032912;33900;64.320546
111;110;105;35250;0.034198;34850;0.016953
111;110;104;34450;0.034911;34250;0.033908
111;110;103;34450;0.034908;34250;0.066818
111;110;102;34450;0.033910;34250;0.127715
111;110;101;34450;0.034935;34250;0.248351
111;110;100;34750;0.033327;34250;0.505766
111;110;99;34750;0.033910;34250;0.978840
111;110;98;34450;0.034063;34100;1.970976
