50;63;9;94;0.006011;82
50;63;13;97;0.006011;83
50;63;25;140;0.007007;138
50;100;9;68;0.007011;59
50;100;13;67;0.006982;61
50;100;25;128;0.006980;122
75;94;13;141;0.013989;111
75;94;19;114;0.014960;104
75;94;38;236;0.016982;220
75;150;13;105;0.014987;86
75;150;19;97;0.016982;88
75;150;38;179;0.015957;174
100;125;17;194;0.025930;165
100;125;25;273;0.025957;235
100;125;50;338;0.027925;318
100;200;17;138;0.028923;127
100;200;25;145;0.028942;131
100;200;50;234;0.029946;218
500;625;5;106;0.823993;85
500;625;10;151;0.825643;144
500;625;83;858;0.827758;754
500;625;125;1267;0.836763;1079
500;625;250;1684;0.874007;1579
500;1000;5;66;0.925554;55
500;1000;10;123;0.909642;102
500;1000;83;577;0.929454;509
500;1000;125;782;0.920534;707
500;1000;250;1186;0.973766;1093
500;2500;5;39;1.212149;32
500;2500;10;55;1.172863;46
500;2500;83;296;1.180156;258
500;2500;125;358;1.175833;323
500;2500;250;596;1.199261;556
500;12500;5;13;2.002144;11
500;12500;10;20;2.044037;18
500;12500;83;131;2.023853;113
500;12500;125;165;2.018496;146
500;12500;250;269;2.043725;267
1000;1250;5;124;4.170370;106
1000;1250;10;280;4.169637;220
1000;1250;167;1888;4.146048;1565
1000;1250;250;2212;4.161823;1935
1000;1250;500;3538;4.316618;3250
1000;2000;5;85;4.502302;67
1000;2000;10;126;4.510789;103
1000;2000;167;1226;4.546689;1072
1000;2000;250;1660;4.601538;1448
1000;2000;500;2248;4.685617;2110
1000;5000;5;32;5.533247;29
1000;5000;10;47;5.513922;42
1000;5000;167;569;5.527620;500
1000;5000;250;761;5.606542;667
1000;5000;500;1207;5.669445;1116
1000;25000;5;16;9.101144;13
1000;25000;10;27;9.053885;23
1000;25000;167;266;9.093998;223
1000;25000;250;358;9.114080;310
1000;25000;500;545;9.187801;537
